"Step","pious-hill-96 - train/loss","pious-hill-96 - train/loss__MIN","pious-hill-96 - train/loss__MAX","atomic-plasma-92 - train/loss","atomic-plasma-92 - train/loss__MIN","atomic-plasma-92 - train/loss__MAX","swept-serenity-90 - train/loss","swept-serenity-90 - train/loss__MIN","swept-serenity-90 - train/loss__MAX"
"126","","","","","","","1.4539","1.4539","1.4539"
"127","","","","","","","1.4932","1.4932","1.4932"
"128","","","","","","","1.2929","1.2929","1.2929"
"129","","","","","","","1.3926","1.3926","1.3926"
"130","","","","","","","1.5459","1.5459","1.5459"
"131","","","","","","","1.4479","1.4479","1.4479"
"132","","","","","","","1.6834","1.6834","1.6834"
"133","","","","","","","1.2629","1.2629","1.2629"
"134","","","","","","","1.426","1.426","1.426"
"135","","","","","","","1.538","1.538","1.538"
"136","","","","","","","1.7517","1.7517","1.7517"
"137","","","","","","","1.4795","1.4795","1.4795"
"138","","","","","","","1.5265","1.5265","1.5265"
"139","","","","","","","1.5405","1.5405","1.5405"
"140","","","","","","","1.6884","1.6884","1.6884"
"141","","","","","","","1.5769","1.5769","1.5769"
"142","","","","","","","1.5865","1.5865","1.5865"
"143","","","","","","","1.5783","1.5783","1.5783"
"144","","","","","","","1.4891","1.4891","1.4891"
"145","","","","","","","1.5772","1.5772","1.5772"
"146","","","","","","","1.4875","1.4875","1.4875"
"147","","","","","","","1.642","1.642","1.642"
"148","","","","","","","1.7005","1.7005","1.7005"
"149","","","","","","","1.363","1.363","1.363"
"150","","","","","","","1.4787","1.4787","1.4787"
"151","","","","","","","1.4138","1.4138","1.4138"
"152","","","","","","","1.4936","1.4936","1.4936"
"153","","","","","","","1.3864","1.3864","1.3864"
"154","","","","","","","1.5165","1.5165","1.5165"
"155","","","","","","","1.6139","1.6139","1.6139"
"156","","","","","","","1.567","1.567","1.567"
"157","","","","","","","1.5793","1.5793","1.5793"
"158","","","","","","","1.4178","1.4178","1.4178"
"159","","","","","","","1.4324","1.4324","1.4324"
"160","","","","","","","1.6933","1.6933","1.6933"
"161","","","","","","","1.6526","1.6526","1.6526"
"162","","","","","","","1.5836","1.5836","1.5836"
"163","","","","","","","1.4349","1.4349","1.4349"
"164","","","","","","","1.3778","1.3778","1.3778"
"165","","","","","","","1.4581","1.4581","1.4581"
"166","","","","","","","1.5501","1.5501","1.5501"
"167","","","","","","","1.4762","1.4762","1.4762"
"168","","","","","","","1.684","1.684","1.684"
"169","","","","","","","1.4602","1.4602","1.4602"
"170","","","","","","","1.3897","1.3897","1.3897"
"171","","","","","","","1.3343","1.3343","1.3343"
"172","","","","","","","1.4281","1.4281","1.4281"
"173","","","","","","","1.4852","1.4852","1.4852"
"174","","","","","","","1.6047","1.6047","1.6047"
"175","","","","","","","1.5314","1.5314","1.5314"
"176","","","","","","","1.5122","1.5122","1.5122"
"177","","","","","","","1.5831","1.5831","1.5831"
"178","","","","","","","1.4656","1.4656","1.4656"
"179","","","","","","","1.523","1.523","1.523"
"180","","","","","","","1.6738","1.6738","1.6738"
"181","","","","","","","1.5341","1.5341","1.5341"
"182","","","","","","","1.4293","1.4293","1.4293"
"183","","","","","","","1.5641","1.5641","1.5641"
"184","","","","","","","1.4785","1.4785","1.4785"
"185","","","","","","","1.5312","1.5312","1.5312"
